epsilon,outlier_y,mds_summary,posterior_kl,kl_over_epsilon
0.01,-19.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-19.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-19.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-19.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-19,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-18,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-17,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.4,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.3,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.2,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16.1,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-16,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-15.9,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-15.8,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-15.7,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-15.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
